Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
29892;1707;0.329073;94.541336;0.128913;1.238953;0.466609;150.959259;0.798316;77486;11640;0.274902;113.449089;0.007187;1.518427;0.237824;1563.567017;0.779355;0.314025;1.378837;0.704962;0.385773;0.146649;2
30158;1803;0.324919;100.767883;0.116579;1.565938;0.320686;214.557343;0.728541;57043;7650;0.274968;110.013237;0.012249;1.261479;0.368944;1118.650879;0.827706;0.429491;1.69774;0.564162;0.528689;0.235686;2
25040;1683;0.321855;96.880135;0.11109;1.870282;0.22469;229.981369;0.661147;39811;5535;0.310672;102.780617;0.01633;1.261215;0.457093;1732.090942;0.79465;0.519739;1.916857;0.638858;0.628972;0.304065;2
28684;2613;0.308868;100.484512;0.052792;1.867611;0.217543;314.152924;0.657865;36290;3456;0.317815;75.300415;0.038181;0.63641;0.715852;1084.241699;0.891794;0.526215;2.797645;0.705691;0.790411;0.756076;2
29024;2307;0.312995;95.659264;0.068529;1.027817;0.511168;196.640457;0.834314;91379;13470;0.29924;110.99324;0.006329;1.78217;0.146919;1610.651123;0.747336;0.281579;1.788372;0.712476;0.317622;0.171269;2
26114;1788;0.324959;103.547684;0.102647;1.406141;0.376132;256.597717;0.762609;52086;5004;0.311991;110.447685;0.026139;1.275371;0.369446;1179.306641;0.805791;0.381996;1.709369;0.625203;0.501363;0.357314;2
29474;1848;0.325644;99.081154;0.108454;1.599895;0.326942;199.451828;0.733003;53546;9519;0.279646;103.910118;0.007426;1.179313;0.405213;1632.002808;0.813322;0.424099;1.746692;0.652064;0.550443;0.194138;2
31630;2187;0.299339;97.986504;0.083102;1.542006;0.351712;249.584946;0.742579;47453;6870;0.28489;88.117058;0.012635;0.774191;0.618793;1071.168823;0.882625;0.402161;1.949198;0.632696;0.666554;0.318341;2
42722;4188;0.29059;99.422913;0.030609;1.342611;0.427348;298.9245;0.776126;91231;14067;0.262786;109.977539;0.005794;1.251222;0.358104;1364.691895;0.819705;0.341913;2.96181;0.260418;0.468284;0.297718;3
24758;3387;0.263512;81.564339;0.02712;0.93427;0.61463;239.300278;0.849464;94947;9939;0.289407;111.550644;0.012078;1.632171;0.156022;1049.556274;0.77077;0.211942;2.461483;0.357794;0.260756;0.340779;4
26368;3222;0.287299;83.226875;0.031918;1.089851;0.554564;268.881714;0.821627;85630;15354;0.294696;108.551361;0.004564;1.746867;0.177359;1723.689819;0.718699;0.250623;2.48228;0.215266;0.307929;0.209848;4
26882;3243;0.250109;83.591293;0.03212;1.079214;0.562964;229.194366;0.826065;97696;10854;0.30133;107.107353;0.010421;1.816916;0.120623;1029.949707;0.732149;0.24574;2.449396;0.481284;0.27516;0.298784;4
24888;2310;0.278988;77.990036;0.058611;0.978059;0.597597;174.595596;0.843517;88040;11916;0.281468;109.762993;0.007792;1.736599;0.177392;1257.309692;0.745297;0.223769;1.731634;0.404812;0.28269;0.193857;4
28293;3348;0.245919;79.441879;0.031719;0.967863;0.6087;224.596024;0.842833;97361;13368;0.279691;112.548515;0.006846;1.658797;0.210973;1469.297241;0.758463;0.21603;2.296296;0.71542;0.290599;0.250449;4
25110;2865;0.29387;84.624847;0.038442;1.073761;0.564494;257.040405;0.824215;87438;11877;0.291921;110.738945;0.007789;1.784884;0.147404;1306.543335;0.750403;0.244375;2.231308;0.657057;0.287175;0.241223;4
28227;3537;0.255104;86.796097;0.028353;1.14983;0.52551;263.536133;0.810535;87844;18021;0.290781;111.4282;0.003399;1.709069;0.167886;2223.611084;0.732819;0.270568;2.737616;0.619584;0.321331;0.196271;4
24280;3120;0.289648;87.786766;0.031344;1.065572;0.566541;313.408356;0.824879;83116;14682;0.295905;112.721771;0.004845;1.741694;0.15732;2079.864502;0.732091;0.242388;2.464455;0.197934;0.292122;0.212505;4
24096;3504;0.258913;79.311653;0.024662;0.84287;0.653376;232.247635;0.865779;106627;11754;0.297729;110.175201;0.009699;1.806881;0.123304;1065.694702;0.749737;0.187933;2.443515;0.363516;0.225984;0.298111;4
20692;2769;0.240099;79.813301;0.033913;0.874909;0.64087;230.771301;0.859541;90074;9396;0.295635;109.597099;0.012821;1.84336;0.114674;1007.927002;0.740191;0.195669;2.107306;0.210725;0.229722;0.2947;4
24283;3081;0.254891;85.143692;0.032146;0.94664;0.596563;239.017548;0.848022;93441;10281;0.301345;109.861389;0.011109;1.762696;0.128915;1050.406616;0.761909;0.223703;2.337633;0.657904;0.259875;0.299679;4
24440;2136;0.281007;80.627686;0.067314;0.975392;0.599905;146.874542;0.845978;89537;9120;0.298418;110.488823;0.013528;1.731139;0.160512;937.717834;0.744452;0.222826;1.61086;0.751014;0.27296;0.234211;4
25684;3198;0.256412;83.542786;0.031558;1.105715;0.552232;248.310013;0.821061;78929;10188;0.288524;111.656921;0.009556;1.625846;0.215901;1301.349243;0.76332;0.252554;2.50627;0.13144;0.325406;0.313899;4
24767;2640;0.274951;90.68251;0.044656;1.322968;0.467121;282.045837;0.778449;68333;6834;0.31594;113.949608;0.018386;1.633092;0.197116;1005.049194;0.770296;0.311633;2.340425;0.753212;0.362446;0.386304;4
25472;3228;0.258838;84.847771;0.030719;1.243354;0.503923;316.888;0.791127;75848;10209;0.30545;110.890388;0.009145;1.698192;0.179485;1549.105591;0.734446;0.284635;2.694491;0.267954;0.33583;0.316192;4
24645;2802;0.269088;84.71405;0.039446;1.045239;0.571671;224.639725;0.831765;69143;12876;0.278653;111.762634;0.005241;1.369694;0.304052;1573.466553;0.799073;0.240134;2.185647;0.207556;0.356435;0.217614;4
